description,category
Monthly rent payment,Rent
Apartment complex maintenance fee,Maintenance
Electricity bill,Utility
Groceries purchased at local market,Food
Gym membership dues,Health & Fitness
Health insurance premium,Insurance
Movie tickets for a weekend outing,Entertainment
Employee salaries,Payroll
Car insurance premium,Insurance
Home internet bill,Utility
Dinner at a restaurant,Food
Yoga class pass,Health & Fitness
Retirement plan contribution,Benefits
Streaming service subscription,Entertainment
Plumbing repair for a leaky faucet,Maintenance
Dental cleaning appointment,Health & Fitness
Property tax payment,Rent
Employee bonus payment,Payroll
Concert tickets,Entertainment
Water bill,Utility
Groceries at supermarket,Food
Fast food lunch,Food
Coffee shop purchase,Food
Haircut,Health & Fitness
Netflix subscription,Entertainment
Spotify subscription,Entertainment
Gas bill,Utility
Cell phone bill,Utility
Doctor's appointment co-pay,Health & Fitness
Massage therapy session,Health & Fitness
Car repairs,Maintenance
Home improvement supplies,Maintenance
Lawn care services,Maintenance
Life insurance premium,Insurance
Disability insurance premium,Insurance
Dental insurance premium,Insurance
Vision insurance premium,Insurance
Concert tickets,Entertainment
Theater tickets,Entertainment
Hospital bills, Health & Fitness
Museum admission,Entertainment
Amusement park tickets,Entertainment
Live music events,Entertainment
Sporting events tickets,Entertainment
Concert tickets,Entertainment
Theater tickets,Entertainment
clinic, Health & Fitness
doctor, Health & Fitness
Museum admission,Entertainment
Amusement park tickets,Entertainment
Live music events,Entertainment
Sporting events tickets,Entertainment
Concert tickets,Entertainment
Annual bonus for employees,Payroll
Weekly payment to part-time staff,Payroll
Commission payout for sales staff,Payroll
Hourly wages for temporary workers,Payroll
Payment for overtime work,Payroll
Theater tickets,Entertainment
Museum admission,Entertainment
Amusement park tickets,Entertainment
medicine, Health & Fitness
pharmacy, Health & Fitness
Live music events,Entertainment
Sporting events tickets,Entertainment
Concert tickets,Entertainment
Theater tickets,Entertainment
Museum admission,Entertainment
Amusement park tickets,Entertainment
Live music events,Entertainment
Sporting events tickets,Entertainment
Concert tickets,Entertainment
